,index,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
0,4856377,1617088860,58069.66,58088.16,58044.42,58088.16,0.54750699,31789.5901,58062.436975
1,4856378,1617088920,58118.61,58219.8,58118.61,58203.83,1.66931482,97147.848566,58196.241597
2,4856379,1617088980,58231.47,58299.0,58222.25,58222.25,14.23494538,829541.86612,58275.029793
3,4856380,1617089040,58253.35,58254.59,58142.32,58142.32,0.90572186,52721.165031,58209.001416
4,4856381,1617089100,58199.66,58221.85,58177.48,58177.48,0.54352245,31631.172024,58196.624673
5,4856382,1617089160,58200.16,58200.16,58134.46,58137.6,0.79883319,46463.206159,58163.840387
6,4856383,1617089220,58150.93,58150.93,58130.78,58150.93,2.35771144,137100.59926,58149.863861
7,4856384,1617089280,58140.93,58177.99,58127.46,58158.02,2.42855702,141244.49826,58159.844344
8,4856385,1617089340,58165.18,58171.03,58146.91,58146.91,7.2709097,422877.2346,58160.154925
9,4856386,1617089400,58150.17,58154.6,58102.32,58102.32,1.10115712,64001.941998,58122.443052
10,4856387,1617089460,58107.53,58114.53,58078.94,58087.6,4.59582645,266990.51633,58094.125013
11,4856388,1617089520,58094.4,58127.0,58094.4,58127.0,0.64342638,37394.418881,58117.634035
12,4856389,1617089580,58123.59,58130.22,58094.4,58094.4,0.75215455,43718.347085,58124.154251
13,4856390,1617089640,58107.13,58136.0,58104.23,58128.82,0.87631733,50934.086574,58122.879499
14,4856391,1617089700,58104.29,58104.29,58091.95,58104.29,0.01711579,994.47109387,58102.552898
15,4856392,1617089760,58064.73,58080.15,58051.6,58080.15,0.06260114,3635.2843766,58070.577894
16,4856393,1617089820,58074.99,58113.77,58066.49,58108.54,0.32603769,18937.944957,58085.140271
17,4856394,1617089880,58107.63,58138.79,58107.63,58137.25,1.18525937,68899.561853,58130.366734
18,4856395,1617089940,58137.24,58138.93,58116.88,58138.93,0.32841206,19092.388077,58135.465783
19,4856396,1617090000,58138.93,58160.09,58138.03,58160.09,0.91832079,53406.320677,58156.497445
20,4856397,1617090060,58178.54,58190.45,58178.54,58183.85,0.03575791,2080.6030238,58185.811862
21,4856398,1617090120,58198.87,58228.0,58193.49,58202.45,0.94411618,54949.612642,58202.172366
22,4856399,1617090180,58196.43,58196.43,58185.77,58185.77,0.26200116,15246.137229,58191.10583
23,4856400,1617090240,58175.61,58194.74,58175.61,58177.93,0.01895969,1103.2472112,58189.095457
24,4856401,1617090300,58166.18,58166.43,58014.96,58014.96,1.13032064,65674.373742,58102.428123
25,4856402,1617090360,58033.44,58066.83,58000.0,58064.99,2.83359023,164474.4052,58044.527206
26,4856403,1617090420,58066.83,58088.01,58066.83,58088.01,0.02665185,1547.866899,58077.2779
27,4856404,1617090480,58077.41,58095.83,58053.35,58089.66,1.80405484,104746.84985,58061.898968
28,4856405,1617090540,58065.79,58069.35,58045.31,58045.31,1.79104695,103974.54091,58052.381547
29,4856406,1617090600,58088.17,58108.23,58081.69,58108.23,0.14859254,8632.6551906,58096.154697
30,4856407,1617090660,58096.35,58111.13,58089.66,58107.84,0.06150258,3573.2127403,58098.582861
31,4856408,1617090720,58094.65,58094.65,58093.79,58093.79,0.15076212,8758.3434574,58093.793437
32,4856409,1617090780,58099.88,58100.5,58071.85,58071.85,0.13169656,7649.0577412,58080.922852
33,4856410,1617090840,58090.93,58104.08,58090.92,58101.67,0.34076089,19797.877907,58099.032159
34,4856411,1617090900,58096.11,58140.17,58096.11,58140.17,2.9841881,173453.13995,58124.063944
35,4856412,1617090960,58140.17,58149.42,58127.74,58145.03,0.92240197,53629.916714,58141.589522
36,4856413,1617091020,58123.44,58141.21,58090.0,58106.08,0.32055062,18627.842754,58112.015985
37,4856414,1617091080,58092.05,58092.06,58050.51,58092.06,11.83421776,687309.28075,58078.133653
38,4856415,1617091140,58092.06,58118.21,58092.06,58118.21,4.39372438,255246.91516,58093.520004
39,4856416,1617091200,58125.0,58178.76,58125.0,58166.62,1.23534625,71842.05105,58155.396554
40,4856417,1617091260,58152.93,58152.93,58104.74,58126.03,2.48095642,144252.16508,58143.772263
41,4856418,1617091320,58121.66,58192.4,58121.66,58184.58,1.16923446,68006.329458,58163.124492
42,4856419,1617091380,58176.42,58200.0,58173.69,58173.69,0.36838109,21432.069017,58179.069443
43,4856420,1617091440,58185.27,58188.69,58116.77,58188.69,5.11430397,297398.69755,58150.375749
44,4856421,1617091500,58175.32,58175.32,58146.51,58150.16,0.09378775,5454.2572402,58155.326684
45,4856422,1617091560,58152.31,58163.45,58105.28,58121.81,0.12383787,7197.327028,58118.950431
46,4856423,1617091620,58108.52,58120.83,58095.18,58095.18,0.19214612,11164.833912,58105.955571
47,4856424,1617091680,58083.92,58088.33,58034.06,58053.35,2.03153921,118004.07698,58086.044514
48,4856425,1617091740,58053.35,58055.57,58000.13,58000.13,3.71068098,215288.66395,58018.640003
49,4856426,1617091800,58030.0,58093.76,58026.76,58085.35,0.28834462,16745.698779,58075.294691
50,4856427,1617091860,58069.53,58114.92,58069.53,58114.92,3.53629308,205365.87222,58073.770351
51,4856428,1617091920,58129.44,58129.44,58100.0,58100.0,0.82680015,48038.732227,58101.987798
52,4856429,1617091980,58086.42,58151.12,58080.48,58130.05,2.88750708,167827.61851,58121.976453
53,4856430,1617092040,58111.18,58112.57,58074.82,58095.47,4.43256982,257452.68454,58082.037056
54,4856431,1617092100,58085.0,58085.0,58024.52,58046.61,10.66158455,619038.11494,58062.487057
55,4856432,1617092160,58051.12,58051.12,57972.72,58030.85,6.2569164,363014.73939,58018.15402
56,4856433,1617092220,58052.56,58088.61,58052.56,58055.09,0.25413305,14755.420904,58061.79442
57,4856434,1617092280,58044.31,58047.74,57859.09,57897.07,2.14667304,124427.15055,57962.786243
58,4856435,1617092340,57917.87,57964.09,57898.9,57945.39,2.6007985,150629.70183,57916.71359
59,4856436,1617092400,57903.42,57939.5,57828.03,57878.17,5.11439146,296185.55429,57912.179114
60,4856437,1617092460,57900.63,57900.63,57777.7,57794.94,8.2648915,477791.92868,57809.824687
61,4856438,1617092520,57801.1,57850.01,57801.09,57808.73,1.27653557,73807.378492,57818.5052
62,4856439,1617092580,57823.52,57823.68,57758.83,57818.54,0.48302461,27926.746142,57816.404306
63,4856440,1617092640,57818.57,57874.22,57818.57,57866.68,0.07394427,4278.5022811,57861.174112
64,4856441,1617092700,57862.02,57868.15,57800.0,57804.55,2.49177221,144080.08241,57822.332971
65,4856442,1617092760,57817.57,57864.93,57810.71,57850.29,0.69056014,39936.95366,57832.694571
66,4856443,1617092820,57849.25,57872.87,57849.15,57867.63,3.3981915,196584.72667,57849.80825
67,4856444,1617092880,57901.06,57906.54,57884.02,57906.54,0.87942114,50907.623844,57887.650784
68,4856445,1617092940,57901.69,57922.71,57876.54,57909.64,0.72447807,41959.690135,57917.12941
69,4856446,1617093000,57929.66,57941.37,57915.72,57915.72,1.97110774,114181.35611,57927.506343
70,4856447,1617093060,57912.3,57917.22,57816.65,57843.57,3.98332557,230523.52,57872.12618
71,4856448,1617093120,57846.95,57889.25,57846.95,57876.77,0.42127185,24382.895856,57879.243191
72,4856449,1617093180,57856.26,57863.56,57856.19,57863.56,1.57077639,90879.175683,57856.214457
73,4856450,1617093240,57863.44,57897.39,57820.47,57883.43,2.2707257,131325.95494,57834.354428
74,4856451,1617093300,57881.38,57881.38,57869.69,57869.73,0.27529507,15933.307538,57877.198957
75,4856452,1617093360,57844.58,57855.94,57844.58,57855.94,0.08568815,4957.2488323,57852.209813
76,4856453,1617093420,57852.89,57852.89,57793.04,57842.16,0.61503045,35568.089046,57831.42777
77,4856454,1617093480,57868.89,57883.17,57862.39,57862.39,0.61363993,35512.647153,57872.125683
78,4856455,1617093540,57893.36,57909.62,57880.95,57909.62,0.40913555,23684.37619,57888.824842
79,4856456,1617093600,57900.94,57923.12,57865.86,57865.86,8.12226429,470263.87292,57898.124972
80,4856457,1617093660,57862.39,57887.95,57862.23,57883.84,5.69503916,329569.17965,57869.519488
81,4856458,1617093720,57880.43,57900.0,57880.43,57900.0,0.06337528,3668.7960627,57890.017412
82,4856459,1617093780,57888.68,57930.8,57888.68,57916.36,0.3108663,18008.176162,57929.007301
83,4856460,1617093840,57942.32,57948.82,57942.32,57942.32,0.66414344,38483.420964,57944.441887
84,4856461,1617093900,57949.41,58005.35,57949.41,57996.53,2.44413123,141726.62227,57986.502743
85,4856462,1617093960,57976.24,58008.18,57976.24,58008.18,1.03329741,59931.499822,58000.241984
86,4856463,1617094020,58007.4,58007.4,57980.86,58000.82,3.94203691,228610.08605,57992.88319
87,4856464,1617094080,58000.82,58025.2,58000.82,58004.33,1.68574993,97787.089034,58008.063529
88,4856465,1617094140,58004.33,58027.55,57998.33,58027.55,7.37498062,427797.82648,58006.637376
89,4856466,1617094200,58036.99,58045.59,57988.46,57988.46,1.0609694,61560.031311,58022.438075
90,4856467,1617094260,57982.41,57994.03,57970.88,57974.11,0.2736915,15870.313507,57986.13953
91,4856468,1617094320,57973.36,57973.38,57973.36,57973.38,0.35705489,20699.673641,57973.365497
92,4856469,1617094380,57961.14,57961.14,57925.75,57937.47,0.42193936,24445.387711,57935.784211
93,4856470,1617094440,57914.01,57918.1,57898.45,57918.1,1.43453693,83072.43491,57908.885559
94,4856471,1617094500,57903.54,57903.98,57852.24,57852.24,0.077975,4514.7239648,57899.634047
95,4856472,1617094560,57864.07,57895.75,57830.78,57888.01,0.1582117,9153.0984813,57853.486697
96,4856473,1617094620,57863.83,57924.05,57863.83,57924.05,0.14160177,8201.7887508,57921.512922
97,4856474,1617094680,57951.99,57967.97,57951.99,57967.97,0.03262926,1891.2093948,57960.535875
98,4856475,1617094740,57977.67,57984.3,57950.4,57955.8,0.13236616,7673.9229206,57974.960674
99,4856476,1617094800,57935.6,57935.6,57864.55,57864.55,0.17729941,10267.462965,57910.305316
100,4856477,1617094860,57892.78,57925.55,57874.48,57925.55,0.26589115,15394.024483,57895.964131
101,4856478,1617094920,57919.37,57929.37,57919.37,57924.25,0.16930534,9806.7490983,57923.448241
102,4856479,1617094980,57924.25,57924.25,57898.65,57898.65,0.17145,9930.8566625,57922.756853
103,4856480,1617095040,57898.04,57929.98,57880.38,57929.98,1.4412237,83432.657231,57890.150731
104,4856481,1617095100,57937.77,57949.48,57931.31,57931.31,0.7744847,44876.36546,57943.51452
105,4856482,1617095160,57931.31,57966.27,57931.31,57953.59,0.69226632,40117.013188,57950.259935
106,4856483,1617095220,58001.83,58018.07,58001.83,58015.11,0.88370977,51267.134101,58013.542275
107,4856484,1617095280,58015.11,58100.0,58015.11,58100.0,4.10366416,238350.28904,58082.30882
108,4856485,1617095340,58100.0,58106.22,58051.47,58094.96,2.73870291,159106.16164,58095.444036
109,4856486,1617095400,58106.22,58106.23,58047.77,58047.77,0.16185247,9397.4419554,58061.7766
110,4856487,1617095460,58043.12,58048.13,58000.0,58015.63,1.12352316,65175.358177,58009.803889
111,4856488,1617095520,58032.41,58083.85,58030.99,58083.85,0.50702482,29430.610604,58045.700019
112,4856489,1617095580,58082.08,58093.23,58034.74,58034.74,0.42308498,24572.834078,58080.138128
113,4856490,1617095640,58015.84,58015.84,57984.56,58004.71,0.9978864,57888.074139,58010.685524
114,4856491,1617095700,58004.24,58004.24,57969.63,57971.7,0.2370155,13745.486148,57994.038987
115,4856492,1617095760,57974.42,57982.57,57974.42,57982.57,0.17236644,9993.5908055,57978.75042
116,4856493,1617095820,57974.03,58001.57,57974.03,58001.57,0.47415976,27494.426929,57985.576272
117,4856494,1617095880,58004.24,58092.05,58004.24,58090.36,0.7921311,46007.515019,58080.682628
118,4856495,1617095940,58054.56,58058.15,58021.14,58051.93,2.57328018,149348.56453,58038.205748
119,4856496,1617096000,58032.16,58042.34,58012.01,58014.97,0.75246702,43660.711419,58023.421968
120,4856497,1617096060,58011.51,58019.77,58000.0,58019.77,0.832715,48307.271605,58011.77066
121,4856498,1617096120,58000.0,58015.72,57967.57,57967.74,0.7116533,41268.112292,57989.068964
122,4856499,1617096180,57970.16,57973.53,57932.39,57950.1,1.41791422,82178.230559,57957.124204
123,4856500,1617096240,57944.68,57944.69,57905.44,57917.21,1.22317062,70854.970466,57927.299191
124,4856501,1617096300,57918.0,57927.93,57889.59,57927.93,0.6185846,35828.0486,57919.399546
125,4856502,1617096360,58006.14,58064.85,58006.14,58064.85,0.15016135,8714.4078343,58033.62739
126,4856503,1617096420,58076.09,58100.0,58072.54,58072.54,4.44761998,258383.19337,58094.710099
127,4856504,1617096480,58068.71,58091.53,58068.71,58080.84,0.534366,31035.619804,58079.331028
128,4856505,1617096540,58074.96,58076.89,58020.8,58037.85,0.59612103,34608.104394,58055.499893
129,4856506,1617096600,58045.3,58047.99,58001.78,58023.0,1.06173983,61603.117671,58020.916171
130,4856507,1617096660,58000.0,58044.18,58000.0,58000.0,1.2915358,74920.676896,58008.981939
131,4856508,1617096720,58018.8,58100.0,58018.8,58100.0,1.61904956,94066.730452,58099.969745
132,4856509,1617096780,58132.11,58460.54,58132.11,58425.33,20.2053978,1179477.3904,58374.371147
133,4856510,1617096840,58424.84,58476.08,58329.52,58410.02,8.51445688,497234.10453,58398.804708
134,4856511,1617096900,58408.75,58600.0,58396.64,58600.0,35.54970249,2079977.3907,58508.995717
135,4856512,1617096960,58542.71,58600.0,58509.41,58584.59,1.48379312,86874.477435,58548.915118
136,4856513,1617097020,58541.14,58600.0,58541.14,58586.06,12.38401772,725493.29074,58583.030737
137,4856514,1617097080,58583.69,58600.0,58489.82,58520.0,3.01159326,176293.6082,58538.319415
138,4856515,1617097140,58519.93,58558.81,58460.85,58533.19,7.36017173,430602.43504,58504.400555
139,4856516,1617097200,58558.81,58600.0,58558.81,58600.0,6.50410949,380901.04794,58563.135896
140,4856517,1617097260,58589.32,58639.0,58574.05,58593.13,24.55735028,1439119.6028,58602.397505
141,4856518,1617097320,58592.19,58674.13,58563.11,58631.02,7.14006153,418531.78236,58617.391545
142,4856519,1617097380,58620.11,58748.56,58620.11,58717.25,5.01410406,294321.03517,58698.629237
143,4856520,1617097440,58717.25,58777.0,58692.33,58750.35,10.75319026,631729.51444,58748.101649
144,4856521,1617097500,58755.62,58777.0,58672.88,58777.0,4.53516331,266293.41924,58717.492852
145,4856522,1617097560,58772.03,58801.0,58751.9,58801.0,8.02232514,471654.42145,58792.733182
146,4856523,1617097620,58798.9,58798.9,58713.07,58725.56,8.7342407,513246.04086,58762.525385
147,4856524,1617097680,58746.34,58751.18,58661.63,58676.71,3.6981035,217036.51559,58688.599599
148,4856525,1617097740,58676.68,58760.85,58634.18,58710.7,5.40795058,317440.92384,58698.93209
149,4856526,1617097800,58732.96,58801.0,58713.9,58731.13,2.11236775,124060.92347,58730.741116
150,4856527,1617097860,58706.8,58724.36,58651.99,58717.95,8.64463599,507453.91274,58701.594067
151,4856528,1617097920,58716.3,58826.59,58716.3,58800.63,1.95843971,115142.40822,58792.929716
152,4856529,1617097980,58800.0,58826.2,58778.21,58826.2,0.80049985,47063.249783,58792.328047
153,4856530,1617098040,58826.99,58850.0,58800.04,58850.0,3.84837311,226415.04569,58833.964175
154,4856531,1617098100,58845.24,58850.0,58814.13,58840.08,4.88000336,287129.92384,58838.058637
155,4856532,1617098160,58833.02,58850.0,58800.0,58838.86,8.20549161,482633.59725,58818.364601
156,4856533,1617098220,58850.0,58850.0,58800.0,58807.66,10.30549287,606440.44774,58846.33131
157,4856534,1617098280,58816.95,58850.0,58807.81,58833.1,7.0628503,415625.01411,58846.640726
158,4856535,1617098340,58825.16,58850.0,58791.92,58832.33,1.85007503,108813.26703,58815.596811
159,4856536,1617098400,58850.0,58911.0,58850.0,58900.0,23.434975,1379731.1325,58874.871107
160,4856537,1617098460,58900.0,58999.0,58875.62,58999.0,18.39395277,1083536.231,58907.198719
161,4856538,1617098520,58998.95,59138.6,58998.95,59087.83,27.02347823,1595567.9689,59043.767621
162,4856539,1617098580,59113.85,59160.0,59077.16,59134.99,10.17602325,601803.6249,59139.372043
163,4856540,1617098640,59123.29,59166.0,59071.25,59116.0,5.66614965,334921.71127,59109.224422
164,4856541,1617098700,59133.82,59180.0,59063.63,59086.3,4.97506999,294025.59159,59099.789989
165,4856542,1617098760,59067.03,59067.2,58977.0,59012.86,14.17244062,836656.10328,59034.017197
166,4856543,1617098820,59012.86,59099.92,59012.86,59088.15,19.41397063,1146598.1156,59060.464107
167,4856544,1617098880,59088.15,59089.78,59037.95,59037.95,7.51402789,443828.18963,59066.614621
168,4856545,1617098940,59062.88,59080.96,59022.17,59064.08,3.18332332,188019.63541,59063.945603
169,4856546,1617099000,59092.58,59106.1,59048.2,59072.2,2.87949699,170137.99686,59086.013095
170,4856547,1617099060,59070.71,59141.52,59041.89,59130.79,1.88544029,111385.39406,59076.595874
171,4856548,1617099120,59130.79,59178.69,59097.81,59097.81,3.62141531,214172.29196,59140.494427
172,4856549,1617099180,59111.69,59144.44,59094.9,59129.74,3.70435978,219029.27769,59127.431107
173,4856550,1617099240,59134.56,59147.4,59102.86,59129.39,2.24144614,132506.2195,59116.396837
174,4856551,1617099300,59129.38,59250.0,59071.65,59245.72,12.81940835,758774.50187,59189.510245
175,4856552,1617099360,59232.5,59313.72,59192.1,59284.16,9.00399443,533840.08136,59289.250511
176,4856553,1617099420,59296.49,59296.49,59197.52,59235.18,4.08592864,242097.11951,59251.431153
177,4856554,1617099480,59260.77,59289.26,59244.62,59280.19,1.05841578,62729.682819,59267.524166
178,4856555,1617099540,59280.19,59285.72,59200.0,59200.0,12.93784497,766507.41098,59245.369902
179,4856556,1617099600,59217.49,59249.17,59200.01,59238.64,14.99489828,887998.47115,59220.039681
180,4856557,1617099660,59247.65,59273.05,59234.71,59234.71,1.84320775,109219.33065,59255.030067
181,4856558,1617099720,59228.98,59280.48,59177.84,59177.84,4.10727083,243232.69762,59220.02899
182,4856559,1617099780,59174.97,59221.66,59162.12,59169.91,1.61541261,95597.838534,59178.588766
183,4856560,1617099840,59195.92,59204.55,59104.49,59182.62,7.61212547,450521.28623,59184.690006
184,4856561,1617099900,59182.62,59213.44,59150.15,59157.66,2.32298415,137468.49395,59177.542794
185,4856562,1617099960,59151.05,59151.05,59023.96,59060.12,0.60975697,36029.936826,59089.01185
186,4856563,1617100020,59060.8,59119.82,59053.63,59086.89,7.26020617,428831.64361,59066.042144
187,4856564,1617100080,59105.48,59111.55,59003.28,59003.28,1.41523105,83595.520301,59068.461154
188,4856565,1617100140,58990.35,59096.75,58979.83,59096.75,5.0623533,298764.83072,59016.985385
189,4856566,1617100200,59079.68,59082.64,59003.16,59012.16,0.4921136,29066.167622,59063.938941
190,4856567,1617100260,59001.6,59036.85,58997.59,59008.68,1.25149262,73854.23482,59012.920763
191,4856568,1617100320,58998.96,59026.25,58932.48,58932.48,1.93296563,114014.28739,58984.125541
192,4856569,1617100380,58932.48,59027.62,58924.4,58965.6,2.73899234,161555.68461,58983.620454
193,4856570,1617100440,58999.08,59017.14,58986.89,59011.82,1.80667817,106609.56992,59008.611326
194,4856571,1617100500,58993.39,59049.47,58993.39,59020.08,1.30059518,76786.784255,59039.726915
195,4856572,1617100560,59024.23,59024.23,59024.0,59024.0,0.22077146,13030.819432,59024.02164
196,4856573,1617100620,59027.93,59037.84,58943.84,58943.84,1.88238781,111041.99419,58989.966681
197,4856574,1617100680,58938.23,59000.0,58908.52,58949.65,9.97556632,588011.73954,58945.198767
198,4856575,1617100740,58949.65,58960.0,58939.11,58960.0,0.68386227,40315.503453,58952.665209
199,4856576,1617100800,58932.53,58932.53,58887.0,58898.38,0.77376151,45587.731698,58917.032068
200,4856577,1617100860,58874.75,58918.26,58861.87,58911.96,2.35640137,138746.67535,58880.748039
201,4856578,1617100920,58891.45,58910.58,58848.49,58859.5,18.87192738,1111081.6751,58874.838415
202,4856579,1617100980,58856.56,58880.99,58729.51,58736.85,3.23367366,190209.51739,58821.494494
203,4856580,1617101040,58740.3,58740.3,58600.0,58686.67,5.56333735,326327.19308,58656.732919
204,4856581,1617101100,58691.11,58822.81,58680.75,58815.83,4.76059655,279742.67458,58762.105051
205,4856582,1617101160,58837.51,58881.61,58837.48,58862.71,1.41081493,83048.147612,58865.373371
206,4856583,1617101220,58869.9,58983.37,58869.9,58963.14,2.67747581,157866.05194,58960.776172
207,4856584,1617101280,58963.14,58963.14,58886.89,58886.89,1.98523736,116924.18336,58896.828012
208,4856585,1617101340,58923.12,58923.12,58837.75,58837.75,0.74039284,43578.529353,58858.658538
209,4856586,1617101400,58867.93,58910.14,58867.93,58904.35,3.72138236,219184.51807,58898.682495
210,4856587,1617101460,58912.12,58915.0,58848.64,58886.06,0.40862066,24067.361512,58899.032448
211,4856588,1617101520,58878.43,58887.85,58878.43,58885.34,0.18312217,10783.079185,58884.618857
212,4856589,1617101580,58877.36,58887.18,58862.56,58862.56,0.1714938,10095.741653,58869.426492
213,4856590,1617101640,58876.8,58890.65,58862.23,58862.23,0.60013833,35337.330687,58881.975906
214,4856591,1617101700,58862.23,58896.45,58858.7,58883.17,7.95960351,468504.31109,58860.257361
215,4856592,1617101760,58857.9,58875.99,58850.8,58851.27,4.10802159,241812.46371,58863.484139
216,4856593,1617101820,58850.8,58858.52,58761.66,58800.0,5.1256711,301426.23297,58807.174142
217,4856594,1617101880,58840.28,58874.96,58828.6,58864.44,2.95401254,173884.61751,58863.872497
218,4856595,1617101940,58863.73,58875.0,58843.35,58860.79,0.82252319,48417.308655,58864.369107
219,4856596,1617102000,58851.08,58875.0,58851.08,58875.0,2.43539366,143377.43442,58872.385508
220,4856597,1617102060,58886.69,58900.0,58881.29,58900.0,1.3935037,82065.454563,58891.450782
221,4856598,1617102120,58900.0,58945.53,58900.0,58945.53,1.16883039,68855.394975,58909.654954
222,4856599,1617102180,58957.44,59004.37,58957.44,59001.3,4.19805121,247662.74441,58994.693496
223,4856600,1617102240,59004.37,59063.68,59004.37,59056.17,4.78725513,282640.88949,59040.281292
224,4856601,1617102300,59056.66,59061.51,58945.98,58973.56,2.02997064,119865.15723,59047.729494
225,4856602,1617102360,58976.14,58985.99,58927.83,58985.99,1.15126842,67875.785373,58957.393596
226,4856603,1617102420,58975.61,59004.06,58965.87,58985.63,0.50603871,29849.041182,58985.687443
227,4856604,1617102480,58975.23,59010.22,58975.23,58977.14,1.00781042,59446.757253,58986.051418
228,4856605,1617102540,58988.47,59100.0,58959.66,59100.0,5.95881234,351789.82802,59036.90332
229,4856606,1617102600,59092.02,59104.33,59041.67,59094.79,1.59995091,94513.389666,59072.680965
230,4856607,1617102660,59070.28,59101.22,59056.33,59061.47,0.69840666,41262.088372,59080.319153
231,4856608,1617102720,59028.84,59082.44,59003.42,59003.42,2.76715074,163379.25068,59042.410779
232,4856609,1617102780,59000.92,59042.03,58996.51,58996.51,0.44046456,25990.419898,59006.835641
233,4856610,1617102840,59014.21,59022.26,58991.02,59005.5,0.14274872,8421.5486799,58995.616072
234,4856611,1617102900,59040.63,59043.79,58973.66,58973.66,1.15605269,68212.691997,59004.829613
235,4856612,1617102960,58985.67,58997.49,58947.86,58960.17,2.05325909,121086.07298,58972.622388
236,4856613,1617103020,58955.44,59000.0,58948.54,59000.0,1.92031972,113240.61965,58969.669724
237,4856614,1617103080,58972.76,59000.0,58938.01,58943.94,0.5772753,34036.73411,58961.008916
238,4856615,1617103140,58927.03,58995.56,58917.2,58995.56,4.01186501,236588.90702,58972.300022
239,4856616,1617103200,58946.35,58964.11,58929.42,58950.83,0.14991267,8837.1945195,58948.950209
240,4856617,1617103260,58922.75,58961.46,58916.21,58961.46,0.49511182,29173.858163,58923.776376
241,4856618,1617103320,58939.14,58939.14,58905.62,58922.01,0.59722697,35185.395815,58914.613007
242,4856619,1617103380,58919.0,58943.05,58882.62,58885.93,1.4293921,84184.919386,58895.609809
243,4856620,1617103440,58891.26,58971.45,58891.26,58961.87,8.27938312,487833.73431,58921.507465
244,4856621,1617103500,58954.61,58965.45,58927.26,58931.19,3.18508484,187747.19815,58945.7448
245,4856622,1617103560,58923.46,58941.38,58908.24,58913.29,0.32082946,18900.66698,58911.881034
246,4856623,1617103620,58919.94,58942.01,58919.94,58939.77,0.06098314,3593.3153525,58923.095014
247,4856624,1617103680,58924.56,58945.12,58924.56,58945.12,0.13413834,7904.0890244,58924.905619
248,4856625,1617103740,58931.91,59000.0,58931.91,59000.0,0.27786923,16386.65754,58972.551729
